,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
39,Butaritari,KI,3.0707,172.7902,81.77,75,74,12.86
40,Glendive,US,47.1053,-104.7125,46.69,46,0,21.85
41,Rikitea,PF,-23.1203,-134.9692,78.12,73,100,12.66
42,Verkhnevilyuysk,RU,63.4453,120.3167,-20.69,100,100,2.15
43,Uthal,PK,25.8072,66.6219,67.86,65,0,2.39
44,Khandyga,RU,62.6667,135.6,-41.57,100,73,2.35
45,Bredasdorp,ZA,-34.5322,20.0403,69.28,78,91,12.66
46,Moberly,US,39.4184,-92.4382,33.84,59,75,16.11
47,Nara,JP,34.6851,135.8049,40.28,84,100,4.36
48,Saint-Philippe,RE,-21.3585,55.7679,80.19,87,33,8.28
49,Hobart,AU,-42.8794,147.3294,62.46,81,75,17.27
50,Brainerd,US,46.358,-94.2008,1.26,50,0,8.05
51,Praia,CV,14.9215,-23.5087,77.54,61,0,18.41
52,Port Lincoln,AU,-34.7333,135.8667,65.64,88,84,10.89
53,Kaitangata,NZ,-46.2817,169.8464,51.93,90,21,3.09
54,Mildura,AU,-34.2,142.15,75.16,41,91,0.0
55,Portland,US,45.5234,-122.6762,57.38,53,20,3.0
56,Norman Wells,CA,65.282,-126.8329,-14.76,70,75,8.05
57,Khovd,MN,48.0056,91.6419,-13.13,81,15,2.51
58,Castro,BR,-24.7911,-50.0119,82.29,47,6,2.91
59,Bluff,NZ,-46.6,168.3333,42.8,89,10,6.58
60,Campos Altos,BR,-19.6961,-46.1714,73.76,79,96,4.5
61,Jamestown,US,42.097,-79.2353,22.64,31,100,9.22
62,Davila,PH,18.4726,120.5763,75.18,81,8,2.13
63,Mathbaria,BD,22.2876,89.9593,60.98,56,5,7.2
64,The Valley,AI,18.217,-63.0578,80.74,69,20,17.27
65,Arraial do Cabo,BR,-22.9661,-42.0278,82.36,74,40,13.8
66,Vostok,RU,46.4856,135.8833,2.08,99,100,0.83
67,Ajdabiya,LY,30.7554,20.2263,56.25,67,0,6.8
68,Touros,BR,-5.1989,-35.4608,88.7,66,8,13.13
69,Hermanus,ZA,-34.4187,19.2345,71.91,84,16,15.86
70,Coromandel,BR,-18.4733,-47.2003,73.08,85,94,6.55
71,Esperance,AU,-33.8667,121.9,58.84,73,0,11.34
72,Nāngloi Jāt,IN,28.6833,77.0667,60.91,77,0,3.44
73,Quatre Cocos,MU,-20.2078,57.7625,81.09,84,86,13.33
74,‘Āhuimanu,US,21.4447,-157.8378,74.46,79,20,9.22
75,Calatayud,ES,41.3535,-1.6432,55.98,67,100,20.31
76,Tessalit,ML,20.1986,1.0114,70.61,14,0,11.05
77,Ust-Kuyga,RU,70.0167,135.6,-11.79,90,100,6.96
78,Rūdsar,IR,37.1376,50.288,48.25,82,100,7.0
79,Clyde River,CA,70.4692,-68.5914,-23.57,69,0,11.5
80,Pisco,PE,-13.7,-76.2167,77.05,57,0,8.05
81,Manono,CD,-7.3,27.4167,69.85,95,100,3.29
82,Carnarvon,AU,-24.8667,113.6333,78.87,83,4,8.05
83,Palatka,US,29.6486,-81.6376,67.96,77,99,7.43
84,Hong Kong,HK,22.2855,114.1577,60.94,89,100,5.99
85,Barrow,US,71.2906,-156.7887,-29.18,100,0,8.05
86,Imaculada,BR,-7.3897,-37.5092,86.52,32,100,4.7
87,Myitkyina,MM,25.3833,97.4,53.01,70,0,2.66
88,Māngrol,IN,21.1167,70.1167,69.04,56,0,11.1
89,Arrondissement du Havre,FR,49.5833,0.3333,53.35,76,75,23.73
90,Atuona,PF,-9.8,-139.0333,77.49,79,25,14.81
91,Chokurdakh,RU,70.6333,147.9167,-3.62,97,100,10.47
92,Sur,OM,22.5667,59.5289,72.19,68,0,1.14
93,Avarua,CK,-21.2078,-159.775,77.05,94,100,1.14
94,Kyabram,AU,-36.3167,145.05,74.88,46,56,7.67
95,Kortkeros,RU,61.8106,51.5806,19.4,100,99,3.2
96,Saskylakh,RU,71.9167,114.0833,-16.02,85,38,3.56
97,Buala,SB,-8.145,159.5921,79.12,80,100,4.38
98,Severo-Kuril'sk,RU,50.6789,156.125,21.96,70,43,9.17
99,Nemuro,JP,43.3236,145.575,26.6,84,99,9.1
100,Tilichiki,RU,60.4667,166.1,-19.44,93,7,9.91
101,Devils Lake,US,48.1128,-98.8651,5.11,77,100,25.32
102,Dikson,RU,73.5069,80.5464,-3.8,87,100,25.75
103,Asău,RO,46.4333,26.4,32.76,82,100,3.58
104,Jackson,US,42.4165,-122.8345,65.44,56,0,0.0
105,Caravelas,BR,-17.7125,-39.2481,81.57,70,89,11.07
106,Pacifica,US,37.6138,-122.4869,73.44,63,20,3.44
107,Galeana,MX,24.8333,-100.0667,58.32,50,20,5.68
108,Broken Hill,AU,-31.95,141.4333,80.31,29,100,13.8
109,Tasiilaq,GL,65.6145,-37.6368,10.56,71,100,9.01
110,Huilong,CN,31.8111,121.655,43.03,82,1,8.14
111,Ostrovnoy,RU,68.0531,39.5131,13.93,70,100,15.9
112,Mar del Plata,AR,-38.0023,-57.5575,69.82,59,0,14.97
113,Saulkrasti,LV,57.2622,24.4147,35.8,69,100,18.54
114,Albufeira,PT,37.0882,-8.2503,58.84,72,100,9.17
115,Bathsheba,BB,13.2167,-59.5167,75.81,88,75,9.22
116,Kirakira,SB,-10.4544,161.9205,79.25,84,100,8.32
117,Honningsvåg,NO,70.9821,25.9704,20.95,86,100,13.8
118,Olonets,RU,60.9847,32.9698,29.39,96,100,15.21
119,Nome,US,64.5011,-165.4064,-12.93,64,0,0.0
120,Tazovsky,RU,67.4667,78.7,-9.89,96,18,10.6
121,Lagos,NG,6.5833,3.75,86.32,77,6,7.81
122,Wattegama,LK,6.7989,81.4808,70.57,91,100,3.8
123,Souillac,MU,-20.5167,57.5167,81.36,83,40,10.36
124,Mossamedes,AO,-15.1961,12.1522,75.83,80,100,5.68
125,Henties Bay,NA,-22.116,14.2845,73.85,81,8,4.79
126,Jalu,LY,29.0331,21.5482,57.76,45,82,6.22
127,Chara,RU,56.9064,118.2631,-24.77,86,91,0.51
128,Kapuskasing,CA,49.4169,-82.4331,-0.4,50,20,5.75
129,San Jerónimo,PE,-11.9472,-75.2829,58.78,60,99,2.86
130,Kisangani,CD,0.5167,25.2,77.58,44,88,2.73
131,Rawson,AR,-43.3002,-65.1023,89.91,20,0,19.62
132,Inuvik,CA,68.3499,-133.7218,-26.54,68,75,4.61
133,Hasaki,JP,35.7333,140.8333,34.29,96,100,32.48
134,Atambua,ID,-9.1061,124.8925,73.09,89,40,2.15
135,Port Alfred,ZA,-33.5906,26.891,73.06,85,94,7.58
136,Yatou,CN,37.15,122.3833,35.38,78,100,6.64
137,Khasan,RU,42.4308,130.6434,18.93,63,100,7.18
138,Kasamwa,TZ,-2.85,32.4333,66.34,75,32,2.15
139,Pacific Grove,US,36.6177,-121.9166,78.15,60,0,3.0
140,Coquimbo,CL,-29.9533,-71.3436,69.44,69,8,7.9
141,Te Anau,NZ,-45.4167,167.7167,44.35,93,36,1.01
142,Yerofey Pavlovich,RU,53.9667,121.9667,-7.76,94,100,2.39
143,Bethel,US,41.3712,-73.414,32.2,75,100,8.05
144,Seoul,KR,37.5683,126.9778,33.24,84,0,2.3
145,Haines Junction,CA,60.7522,-137.5108,8.55,85,100,1.14
146,Fairbanks,US,64.8378,-147.7164,11.23,80,100,0.0
147,Alekseyevsk,RU,57.8406,108.3492,-28.77,100,78,1.23
148,Cidreira,BR,-30.1811,-50.2056,71.11,90,100,9.84
149,East London,ZA,-33.0153,27.9116,72.54,94,75,8.05
150,Upernavik,GL,72.7868,-56.1549,-6.79,96,100,14.79
151,Namatanai,PG,-3.6667,152.4333,78.67,80,100,3.67
152,Hambantota,LK,6.1241,81.1185,75.96,81,100,12.17
153,Thompson,CA,55.7435,-97.8558,-7.44,71,100,6.91
154,At-Bashi,KG,41.1702,75.8106,6.87,75,22,3.83
155,Lebu,CL,-37.6167,-73.65,66.11,72,87,12.8
156,Codrington,AU,-38.2667,141.9667,59.95,90,60,7.2
157,Sfântu Gheorghe,RO,45.8667,25.7833,32.67,81,100,2.95
158,Dhidhdhoo,MV,6.8833,73.1,78.82,83,100,11.92
159,Mahébourg,MU,-20.4081,57.7,81.25,83,40,10.36
160,Aklavik,CA,68.2191,-135.0107,-26.57,68,75,3.44
161,Nikolskoye,RU,59.7035,30.7861,32.88,92,100,12.91
162,Seoni Mālwa,IN,22.45,77.4667,62.33,29,0,7.07
163,Hohhot,CN,40.8106,111.6522,-7.31,71,0,6.71
164,Labuhan,ID,-6.8844,112.2051,76.28,90,100,3.47
165,Soddy-Daisy,US,35.2359,-85.1908,44.24,33,0,9.75
166,Pistsovo,RU,57.179,40.5298,29.5,96,100,8.97
167,Padre Paraíso,BR,-17.0742,-41.4844,77.13,79,43,3.51
168,Quime,BO,-16.9833,-67.2167,54.95,88,94,6.62
169,Waingapu,ID,-9.6567,120.2641,77.61,87,78,3.76
170,Amapá,BR,1.0,-52.0,79.34,92,100,3.94
171,Nhulunbuy,AU,-12.2333,136.7667,77.61,88,6,4.61
172,Roshchino,RU,60.2519,29.6085,32.23,95,100,16.24
173,Lompoc,US,34.6391,-120.4579,83.57,28,0,8.05
174,Imbituba,BR,-28.24,-48.6703,85.89,64,18,13.44
175,Alofi,NU,-19.0595,-169.9187,75.09,94,99,2.3
176,Avera,US,33.194,-82.5271,57.43,25,11,16.42
177,Nālūt,LY,30.3333,10.85,58.37,23,82,11.18
178,Tsiroanomandidy,MG,-18.7667,46.0333,69.96,89,18,1.83
179,Vao,NC,-22.6667,167.4833,79.21,85,100,7.96
180,College,US,64.8569,-147.8028,11.21,82,100,0.0
181,Bambous Virieux,MU,-20.3428,57.7575,81.21,83,40,10.36
182,Omboué,GA,-1.5746,9.2618,78.85,83,98,3.58
183,Faya,SA,18.3851,42.4509,59.11,43,49,4.94
184,Chaves,US,33.3834,-104.4505,52.59,40,0,3.44
185,Beringovskiy,RU,63.05,179.3167,-27.9,97,11,5.79
186,Toma,BF,12.7667,-2.8833,80.87,9,0,9.95
187,Fuchu,JP,35.6667,139.4833,37.47,95,100,9.22
188,Salinópolis,BR,-0.6136,-47.3561,79.45,84,100,7.2
189,Kanniyākumāri,IN,8.0833,77.5667,78.42,75,94,17.67
190,Kavieng,PG,-2.5744,150.7967,80.76,77,96,5.91
191,Nanortalik,GL,60.1432,-45.2371,29.39,80,100,8.59
192,Ntoum,GA,0.3833,9.7833,77.5,84,100,3.49
193,Qaanaaq,GL,77.484,-69.3632,-8.12,91,100,0.72
194,Devanahalli,IN,13.2325,77.6992,68.05,82,5,6.91
195,Cascais,PT,38.6979,-9.4215,58.46,81,75,20.0
196,Banff,CA,51.1762,-115.5698,40.23,60,97,9.22
197,Luang Prabang,LA,19.8856,102.1347,63.46,68,41,1.01
198,Shīeli,KZ,44.1667,66.75,34.25,74,100,8.14
199,Port Elizabeth,ZA,-33.918,25.5701,70.09,83,100,14.97
200,Scranton,US,41.409,-75.6624,31.15,64,100,9.22
201,Ponta do Sol,PT,32.6667,-17.1,66.06,62,92,2.68
202,San Cristobal,VE,7.7669,-72.225,80.78,35,99,5.64
203,Naze,JP,28.3667,129.4833,59.02,93,100,15.59
204,George Town,MY,5.4112,100.3354,80.53,88,40,8.05
205,Miyako,JP,39.6367,141.9525,32.85,65,100,2.46
206,Krutikha,RU,53.9599,81.2093,22.93,91,98,14.25
207,Vila Velha,BR,-20.3297,-40.2925,84.15,78,75,16.11
208,Teteltzingo,MX,19.0667,-97.15,46.51,90,100,6.67
209,La Ronge,CA,55.1001,-105.2842,5.25,85,75,4.61
210,Bengkulu,ID,-3.8004,102.2655,76.5,90,100,4.72
211,Koboko,UG,3.4136,30.9599,74.77,34,46,5.55
212,Urazovo,RU,50.0836,38.0395,15.21,97,31,4.59
213,Balsas,BR,-7.5325,-46.0356,82.69,72,41,2.48
214,Noumea,NC,-22.2763,166.4572,80.01,99,100,5.64
215,Manokwari,ID,-0.8667,134.0833,77.88,80,100,5.39
216,Port Hedland,AU,-20.3167,118.5667,82.45,83,40,5.75
217,Sambava,MG,-14.2667,50.1667,77.13,86,57,3.98
218,Ereymentau,KZ,51.6199,73.1033,3.81,100,94,3.51
219,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,67,40,5.75
220,Faanui,PF,-16.4833,-151.75,80.92,75,100,15.46
221,Half Moon Bay,US,37.4636,-122.4286,74.88,64,0,3.44
222,Ribeira Grande,PT,38.5167,-28.7,63.0,59,75,6.91
223,Talnakh,RU,69.4865,88.3972,-7.62,70,14,9.13
224,Banjar,ID,-8.19,114.9675,78.66,91,99,3.18
225,Barranca,PE,-10.75,-77.7667,76.28,67,4,13.65
226,Privolnyy,RU,44.0998,46.6587,33.82,60,4,5.68
227,Ossora,RU,59.2353,163.0719,-9.35,79,68,7.83
228,Khatanga,RU,71.9667,102.5,-24.18,93,89,3.15
229,Grand Gaube,MU,-20.0064,57.6608,81.37,78,90,7.0
230,Muravlenko,RU,63.7898,74.523,-16.87,100,100,8.39
231,Tezu,IN,27.9167,96.1667,54.01,46,0,5.06
232,Oranjestad,AW,12.524,-70.027,78.75,83,75,17.27
233,Dingle,PH,10.9995,122.6711,74.5,93,86,6.49
234,Phan Thiet,VN,10.9333,108.1,75.15,84,80,7.05
235,Dillon,US,34.4166,-79.3712,57.87,71,100,9.44
236,São João da Barra,BR,-21.6403,-41.0511,82.49,84,11,12.73
237,Jinka,ET,5.65,36.65,72.32,37,66,1.45
238,Madimba,TZ,-10.4,40.3333,78.35,89,85,5.68
239,Marmande,FR,44.5,0.1667,57.51,76,100,11.56
240,Pangnirtung,CA,66.1451,-65.7125,-29.2,75,0,9.22
241,Northam,GB,51.0333,-4.2167,50.34,96,100,18.61
242,Jaraguá,BR,-15.7569,-49.3344,79.02,79,34,8.14
243,Panguma,SL,8.1833,-11.1333,82.89,41,77,2.66
244,Cuautepec,MX,16.7,-99.0,89.35,34,59,8.28
245,Havre-St-Pierre,CA,50.2334,-63.5986,5.59,55,0,10.36
246,West Wendover,US,40.7391,-114.0733,46.45,39,0,2.73
247,Saint-Augustin,CA,51.226,-58.6502,3.81,72,3,13.4
248,Huanan,CN,46.2167,130.5167,-15.95,100,88,1.9
249,Sitka,US,57.0531,-135.33,35.49,87,100,0.0
250,George Town,MY,5.4112,100.3354,80.53,88,40,8.05
251,Port Augusta,AU,-32.5,137.7667,77.7,52,15,8.66
252,Margate,GB,51.3813,1.3862,48.96,85,100,10.0
253,Karratha,AU,-20.7377,116.8463,84.65,63,87,9.48
254,Kaliua,TZ,-5.0606,31.7936,66.11,94,100,3.51
255,Tarakan,ID,3.3,117.6333,76.5,94,20,0.0
256,Santa Cruz de La Palma,ES,28.6835,-17.7642,68.14,68,20,10.36
257,Gambo,CF,4.6482,22.2633,79.02,27,100,1.52
258,Ormara,PK,25.2088,64.6357,71.1,72,5,10.58
259,Mahibadhoo,MV,3.7833,72.9667,81.68,77,100,12.8
260,Daru,PG,-9.0763,143.2092,79.0,79,53,9.75
261,Adrar,MR,20.5022,-10.0711,68.4,17,10,10.33
262,Luanda,AO,-8.8368,13.2343,78.8,73,20,6.91
263,Makaha,US,21.4694,-158.2175,75.65,67,83,11.3
264,Isangel,VU,-19.55,169.2667,78.91,94,75,4.61
265,Talas,TR,38.6908,35.5538,30.87,74,0,8.05
266,Fallon,US,39.4735,-118.7774,56.91,37,20,0.0
267,Hauterive,FR,46.0901,3.4459,51.1,70,61,14.97
268,Chokwé,MZ,-24.5333,32.9833,74.84,66,0,8.79
269,Tautira,PF,-17.7333,-149.15,86.02,77,95,16.51
270,Faro,PT,37.0194,-7.9322,58.78,72,20,16.11
271,Fare,PF,-16.7,-151.0167,80.94,74,100,14.94
272,Cayenne,GF,4.9333,-52.3333,82.44,85,75,13.8
273,Sumbe,AO,-11.2061,13.8437,77.61,81,100,4.59
274,Kasempa,ZM,-13.4584,25.8338,63.84,88,43,3.42
275,Ketchikan,US,55.3422,-131.6461,42.78,100,100,5.75
276,Kodinsk,RU,58.6881,99.1844,-19.68,100,59,3.02
277,Kailua,US,21.4022,-157.7394,75.74,78,20,9.22
278,Camocim,BR,-2.9022,-40.8411,84.49,68,23,16.8
279,Kieta,PG,-6.2167,155.6333,78.8,83,90,0.49
280,Mount Gambier,AU,-37.8333,140.7667,60.71,94,100,8.05
281,Ventanas,EC,-1.45,-79.4667,83.14,79,95,0.98
282,Grindavik,IS,63.8424,-22.4338,28.87,93,75,5.75
283,Berlevåg,NO,70.8578,29.0864,19.4,87,100,11.77
284,Great Falls,US,47.5002,-111.3008,51.19,29,0,6.91
285,Botwood,CA,49.1499,-55.3482,36.88,75,85,10.25
286,Zhigansk,RU,66.7697,123.3711,-36.51,100,72,2.33
287,Tual,ID,-5.6667,132.75,81.43,76,100,8.34
288,Tuatapere,NZ,-46.1333,167.6833,42.82,92,10,5.19
289,Singarāyakonda,IN,15.25,80.0333,74.97,78,7,9.78
290,Alice Springs,AU,-23.7,133.8833,63.95,68,0,5.75
291,Arlit,NE,18.7369,7.3853,73.58,10,0,7.02
292,Iqaluit,CA,63.7506,-68.5145,-18.31,75,75,2.3
293,Bowen,AU,-20.0167,148.2333,73.62,63,78,19.17
294,Saint Paul Harbor,US,57.79,-152.4072,26.11,93,0,6.91
295,Geraldton,AU,-28.7667,114.6,73.81,88,100,6.91
296,Itarema,BR,-2.9248,-39.9167,84.0,67,8,14.72
297,Tommot,RU,58.9564,126.2925,-25.46,100,99,1.12
298,Cabo San Lucas,MX,22.8909,-109.9124,83.61,45,75,4.61
299,Wyndham,US,37.6985,-77.6125,39.45,83,100,6.91
300,Maturin,VE,9.75,-63.1767,92.71,30,83,11.5
301,Marovoay,MG,-16.1,46.6333,80.74,92,30,1.63
302,Kanevskaya,RU,46.0849,38.9596,33.82,65,0,6.46
303,Marawi,PH,7.9986,124.2928,64.65,91,100,2.53
304,Kahului,US,20.8947,-156.47,74.46,82,20,5.75
305,Richards Bay,ZA,-28.783,32.0377,76.06,86,43,4.63
306,Sompeta,IN,18.9333,84.6,65.75,54,44,4.09
307,Ahipara,NZ,-35.1667,173.1667,63.81,68,69,9.1
308,Hualmay,PE,-11.0964,-77.6139,76.71,69,10,12.19
309,Woodstock,CA,43.1334,-80.7497,20.43,72,100,0.76
310,Cervo,ES,43.6702,-7.4101,52.97,84,100,22.53
311,Laguna,US,38.421,-121.4238,78.22,54,0,4.61
312,Luganville,VU,-15.5333,167.1667,79.32,86,100,9.31
313,Pokhara,NP,28.2333,83.9833,51.67,65,2,4.45
314,Gumlā,IN,23.05,84.55,54.82,30,0,2.28
315,Conde,BR,-7.2597,-34.9075,87.26,66,40,11.5
316,Narganá,PA,9.4428,-78.5906,81.55,77,92,10.47
317,Gojra,PK,31.1487,72.6866,55.49,52,84,6.73
318,Farafangana,MG,-22.8167,47.8333,76.41,88,2,4.56
319,Kautokeino,NO,69.0125,23.0412,7.16,97,100,4.0
320,Riyadh,SA,24.6877,46.7219,59.14,29,0,7.76
321,Arrondissement de Muret,FR,43.3333,1.25,53.04,88,100,1.99
322,Polyany,RU,54.7122,39.8231,26.85,61,100,8.48
323,Penzance,GB,50.1186,-5.5371,49.21,82,100,25.72
324,Poninka,UA,50.1849,27.5363,30.83,70,12,10.56
325,Turukhansk,RU,65.8167,87.9833,-6.61,87,13,11.36
326,Barra do Garças,BR,-15.89,-52.2567,86.58,62,40,18.41
327,Timrå,SE,62.487,17.3257,31.68,86,19,5.75
328,Mahon,ES,39.8885,4.2658,52.36,82,40,8.05
329,Usinsk,RU,65.9939,57.5281,10.31,96,99,9.53
330,Kutum,SD,14.2,24.6667,66.18,12,6,9.08
331,Vanimo,PG,-2.6741,141.3028,77.68,88,99,6.15
332,Kvarkeno,RU,52.0833,59.725,18.55,96,100,7.92
333,Kenai,US,60.5544,-151.2583,28.15,96,100,3.44
334,Akdepe,TM,42.0551,59.3788,44.69,65,100,22.97
335,Chuzhou,CN,32.3219,118.2978,45.28,64,100,3.85
336,Bariloche,AR,-41.1456,-71.3082,86.25,14,0,20.71
337,Porto Torres,IT,40.835,8.3972,50.09,85,16,6.26
338,Maţāy,EG,28.419,30.7792,59.49,53,3,14.03
339,Nefteyugansk,RU,61.0998,72.6035,-10.86,96,100,8.59
340,Vrangel',RU,42.7297,133.0839,15.15,58,97,7.87
341,Ancud,CL,-41.8697,-73.8203,80.22,73,26,6.87
342,Lewes,GB,50.8736,0.0113,49.93,91,100,25.01
343,Camaná,PE,-16.6228,-72.7111,75.52,70,9,9.91
344,Erenhot,CN,43.6475,111.9767,-6.27,92,6,4.9
345,Bataiporã,BR,-22.2953,-53.2711,90.0,43,88,4.7
346,Nongstoin,IN,25.5167,91.2667,45.25,48,0,4.18
347,Guamúchil,MX,25.4667,-108.1,89.78,9,100,0.87
348,Guerrero Negro,MX,27.9769,-114.0611,77.85,24,18,4.03
349,Calabozo,VE,8.9242,-67.4293,95.38,25,72,7.4
350,Gunjur,GM,13.2019,-16.7339,89.67,22,79,5.75
351,Yulara,AU,-25.2406,130.9889,71.44,30,1,8.05
352,Okha,RU,53.5739,142.9478,-10.7,96,20,9.04
353,Bosaso,SO,11.2842,49.1816,74.03,70,11,2.21
354,Gdov,RU,58.7406,27.8122,32.79,79,100,17.25
355,Barcelos,PT,41.5388,-8.6151,53.74,89,42,11.23
356,Baláo,EC,-2.9167,-79.8167,84.11,62,89,4.32
357,Kavaratti,IN,10.5669,72.642,80.76,72,37,6.62
358,Lata,PT,40.1629,-8.3327,54.05,93,78,7.9
359,San Patricio,US,28.017,-97.5169,61.88,22,0,6.93
360,Cabedelo,BR,-6.9811,-34.8339,88.47,68,6,11.07
361,Marzuq,YE,14.4,46.4667,61.36,43,1,4.05
362,Teguise,ES,29.0605,-13.564,64.62,68,20,16.11
363,Sawākin,SD,19.1059,37.3321,73.35,54,6,12.66
364,Mühlhausen,DE,51.2167,10.45,44.19,83,98,9.51
365,San Quintín,MX,30.4833,-115.95,75.97,17,8,5.28
366,Pevek,RU,69.7008,170.3133,-17.28,98,100,9.04
367,Kazachinskoye,RU,57.6953,93.2761,-4.81,95,41,7.45
368,Port Blair,IN,11.6667,92.75,75.24,78,20,4.61
369,Acarí,PE,-15.4311,-74.6158,82.8,53,51,11.68
370,Broome,US,42.2506,-75.833,25.63,59,100,9.22
371,Kenderes,HU,47.25,20.6833,37.42,63,14,3.98
372,Careiro da Várzea,BR,-3.2003,-59.8119,83.03,74,100,3.67
373,Zyryanovsk,KZ,49.7386,84.2719,13.66,97,100,1.81
374,Bozoum,CF,6.3193,16.3799,77.23,19,100,2.75
375,Winslow,US,35.0242,-110.6974,59.31,18,0,6.91
376,Ilulissat,GL,69.2167,-51.1,23.02,50,75,14.97
377,Rafaela,AR,-31.2503,-61.4867,82.0,18,0,1.99
378,Muromtsevo,RU,56.3724,75.2418,5.22,97,98,4.45
379,Husavik,IS,66.0449,-17.3389,-2.29,80,57,13.11
380,Poronaysk,RU,49.2167,143.1167,8.11,94,87,7.29
381,Praia,CV,14.9215,-23.5087,77.54,61,0,18.41
382,Aktau,KZ,43.65,51.2,32.58,66,31,16.08
383,Torbay,CA,47.6666,-52.7314,45.37,64,100,18.41
384,Necochea,AR,-38.5473,-58.7368,75.04,34,0,7.72
385,Vaitape,PF,-16.5167,-151.75,80.92,75,100,15.28
386,Mogadishu,SO,2.0371,45.3438,77.59,81,100,17.47
387,Lagoa,PT,39.05,-27.9833,56.5,62,88,6.26
388,Smithers,CA,54.7804,-127.1743,26.92,93,100,2.3
389,Balabac,PH,7.9868,117.0645,80.42,79,100,13.49
390,Sola,VU,-13.8833,167.55,79.47,89,75,0.0
391,Pemangkat,ID,1.1667,108.9667,78.66,85,100,2.24
392,Dalvik,IS,65.9702,-18.5286,-2.27,47,97,8.23
393,Biak,ID,-0.9131,122.8766,75.16,85,100,2.77
394,Viramgam,IN,23.1225,72.0484,64.63,30,0,8.7
395,Saint George,US,37.1041,-113.5841,66.67,23,0,1.99
396,Eten,PE,-6.9081,-79.8642,82.65,54,0,13.8
397,Enshi,CN,30.3,109.4833,38.21,92,1,0.43
398,Catherinas Lust,GY,6.4,-57.6,81.43,69,64,10.85
399,Annaberg-Buchholz,DE,50.5795,13.0063,37.54,88,1,6.13
400,Caucaia,BR,-3.7361,-38.6531,85.95,74,75,12.66
401,Sergeevka,KZ,53.88,67.4158,3.29,97,100,5.97
402,Waitati,NZ,-45.75,170.5667,53.8,80,11,2.93
403,Sandpoint,US,48.2766,-116.5533,37.62,71,0,0.0
404,Ust-Tsilma,RU,65.441,52.1498,-1.53,99,59,3.98
405,Hoquiam,US,46.9809,-123.8893,56.01,80,0,11.5
406,Rūdbār,AF,30.15,62.6,54.99,44,99,9.4
407,Bonthe,SL,7.5264,-12.505,79.77,79,17,9.22
408,Visby,SE,57.6409,18.296,37.62,81,75,21.85
409,Santa Maria,BR,-29.6842,-53.8069,79.9,50,40,5.75
410,Paamiut,GL,61.994,-49.6678,13.68,94,100,19.19
411,Inhambane,MZ,-23.865,35.3833,78.78,89,20,4.61
